rank,brand_id,score,mentions,cumulative_mentions,industries,change_24h,change_7d,sector,region,company_size,logo_url,context
1,Google,100.0,275,53199,103,0.0,0.0,Platform,Global,Giant,https://cdn.trakkr.ai/logos/google.png,"[""Google's AI visibility centers on foundational models and services like Gemini, Vertex AI, and Cloud AI, driving both developer and enterprise mentions across search, cloud, and productivity tools"",""Strategic differentiation stems from integrated AI across Search, Ads, Cloud, and Workspace, with strong data-scale advantages and multimodal capabilities shaping competitive positioning"",""Recent trends—AI copilots, generative AI tooling, and responsible AI safeguards—maintain high visibility for Google as a leading AI platform and ecosystem enabler""]"
2,Amazon,98.0,157,29273,82,0.1,-0.5,Platform,Global,Giant,https://cdn.trakkr.ai/logos/amazon.png,"[""Amazon Web Services (AWS) remains the dominant cloud platform, shaping AI compute, ML tooling, and enterprise AI deployments across industries."",""Retail, logistics, and consumer devices (Alexa, Echo, Fire TV) fuel broad AI mentions through customer-centric AI capabilities, forecasting, and supply chain optimization."",""Recent expansions in AI services (Bedrock, hosted LLMs, and AI-powered merchandising/advertising tools) reinforce Amazon's position as an end-to-end AI infrastructure and platform provider.""]"
3,Microsoft,97.8,206,37278,66,-0.9,-1.1,Platform,Global,Giant,https://cdn.trakkr.ai/logos/microsoft.png,"[""Microsoft's AI visibility centers on Azure OpenAI Service, Copilot, and Bing, driving enterprise and developer AI adoption across productivity, cloud, and data workloads"",""Strategic differentiation comes from integrated AI copilots across Microsoft 365, Dynamics 365, and Power Platform, leveraging hyperscale Azure infrastructure for enterprise-grade AI governance and security"",""Recent momentum is fueled by large-scale partnerships, AI tooling enhancements, and open AI collaborations, reinforcing Microsoft's position as a leading AI platform and enterprise AI provider""]"
4,Apple,95.6,116,22301,51,-1.0,-0.8,Hardware,Global,Giant,https://cdn.trakkr.ai/logos/apple.png,"[""Apple's AI focus centers on on-device ML, Core ML, and privacy-preserving models embedded in iPhone, iPad, Mac, and Vision frameworks, reinforcing consumer trust and responsive experiences."",""Strategic AI momentum is driven by user-facing features (Siri enhancements, Photonics/Face ID, ARKit, and AI-accelerated hardware like Neural Engine) that differentiate ecosystem-wide experiences and developer leverage across devices."",""Recent developments—Apple’s privacy-centric stance, advances in AI hardware (Neural Engine), and integration with services (Apple Silicon, iCloud, and Apple Vision/Health)—consolidate Apple as a premium, end-to-end AI-enabled platform appealing to both consumers and developers.""]"
5,Intuit,95.0,53,10109,20,-0.9,-0.8,B2B,Global,Giant,https://cdn.trakkr.ai/logos/intuit.png,"[""Intuit's AI-enhanced financial tooling (TurboTax AI, QuickBooks with AI features, Mint) anchors its visibility in tax, accounting, and SMB financial management discussions."",""Strategic focus on AI-powered automation, data insights, and developer-friendly ecosystem (QuickBooks App Store, AI integrations) differentiates Intuit as an essential back-office platform for small businesses and tax professionals."",""Recent dynamics include expanding AI-assisted bookkeeping, fraud detection, and advisory capabilities, boosting prominence in fintech and SMB productivity conversations.""]"
6,Nike,94.1,80,14445,31,-1.6,-0.9,B2C,Global,Giant,https://cdn.trakkr.ai/logos/nike.png,"[""Nike's AI-driven product design, performance analytics, and consumer personalization (Nike Fit, Nike App, and data-backed footwear innovation) anchor its reputation in AI-enabled consumer experiences"",""Strategic emphasis on direct-to-consumer platforms, digital marketing, and Nike Training Club/Recovery tools differentiates Nike in a crowded athleticwear market and sustains high visibility in AI and analytics discussions"",""Recent shifts toward autonomous manufacturing insights, supply-chain optimization, and sneaker customization (3D printing, a.i.-assisted design) boost AI mentions and reinforce Nike as a leader in tech-enabled consumer branding""]"
7,Patagonia,93.8,27,4867,20,-0.5,0.1,B2C,Global,Giant,https://cdn.trakkr.ai/logos/patagonia.png,"[""Iconic outdoor apparel and gear brand drives AI mentions through product innovation, sustainability focus, and supply-chain transparency campaigns"",""Environmental stewardship and mission-driven branding differentiate Patagonia in AI and media discourse, reinforcing trusted, purpose-led consumer narratives"",""Recent shifts toward regenerative practices, certifications, and activism-related initiatives sustain high visibility in market intelligence and ESG-focused AI discussions""]"
8,Adobe,93.6,88,17044,31,-1.3,-1.9,Platform,Global,Giant,https://cdn.trakkr.ai/logos/adobe.png,"[""Creative Cloud, GenAI features in Illustrator/Photoshop and Firefly generative AI position Adobe at the center of AI-assisted content creation and design workflows"",""Strategic focus on AI-powered digitization, marketing automation (Marketo, Experience Cloud) and data-driven customer experiences differentiates Adobe in enterprise AI and marketing tech spaces"",""Continued investments in AI safety, governance, and cross-product AI tooling reinforce visibility as a trusted, end-to-end AI platform for creative, marketing, and analytics use cases""]"
9,Samsung,92.8,177,30922,52,-1.6,-1.0,Hardware,Global,Giant,https://cdn.trakkr.ai/logos/samsung.png,"[""Samsung dominates consumer electronics and mobile hardware with Galaxy devices, semiconductors, and display technologies that frequently anchor AI-integration discussions (on-device AI, image processing, and chip-level optimizations)."",""Diversified AI visibility through Exynos/Qualcomm collaborations, Samsung AI ecosystems (SmartThings, Bixby evolution), and advanced memory/logic chips position it as a core hardware enabler for AI workloads and edge computing."",""Recent developments in AI-enabled cameras, neural processing units, and large-scale semiconductor roadmap updates sustain frequent references to Samsung in AI, mobile, and data-center conversations.""]"
10,Garmin,92.5,66,12540,21,0.8,-1.6,Hardware,Global,Giant,https://cdn.trakkr.ai/logos/garmin.png,"[""Garmin's GPS-centric devices (fitness wearables, navigation watches, handhelds) and AI-enabled health metrics drive frequent AI mentions around outdoor, fitness, and wearable analytics"",""Strategic differentiation rests on specialized hardware sensing, robust outdoor mapping, and integrated AI features for activity tracking, navigation, and health insights across consumer and professional markets"",""Recent emphasis on fitness ecosystem integration, smartwatch health analytics, and outdoor safety features sustains visibility in AI discussions and wearable tech trends""]"
